epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,312.864,0.87116,0.79399,1.28718,0.91793,0.87231,0.9478,0.76698,0.71418,0.5569,1.24274,0.00113898,0.00113898,0.00113898
43,320.125,0.83301,0.78206,1.24762,0.84571,0.84567,0.91818,0.74688,0.68404,0.64098,1.23846,0.00113191,0.00113191,0.00113191
44,327.232,0.84912,0.78392,1.26831,0.75316,0.88288,0.88922,0.71683,0.70891,0.80008,1.258,0.00112484,0.00112484,0.00112484
45,334.558,0.8535,0.77026,1.26246,0.66762,0.84742,0.80788,0.60465,0.81915,0.96281,1.3749,0.00111776,0.00111776,0.00111776
46,341.854,0.85607,0.75508,1.26144,0.69435,0.83586,0.8344,0.6583,0.70072,0.94235,1.25303,0.00111069,0.00111069,0.00111069
47,349.252,0.84144,0.76738,1.25521,0.65564,0.80999,0.78283,0.63294,0.68831,1.138,1.24282,0.00110362,0.00110362,0.00110362
48,356.567,0.85353,0.78852,1.26219,0.75006,0.90792,0.88761,0.72095,0.69873,0.72082,1.23282,0.00109654,0.00109654,0.00109654
49,363.893,0.8245,0.7541,1.24587,0.77586,0.84301,0.86543,0.58949,0.99614,0.75127,1.5111,0.00108947,0.00108947,0.00108947
50,371.122,0.83322,0.75835,1.25093,0.75152,0.83986,0.85161,0.70138,0.72424,1.01498,1.22659,0.0010824,0.0010824,0.0010824
51,378.402,0.83801,0.74146,1.24619,0.69296,0.82329,0.80305,0.61716,0.80597,0.87981,1.32469,0.00107532,0.00107532,0.00107532
52,385.583,0.83899,0.79124,1.25723,0.78361,0.87762,0.9083,0.72797,0.68631,0.69764,1.22037,0.00106825,0.00106825,0.00106825
53,392.971,0.82443,0.72823,1.25144,0.87255,0.86004,0.92532,0.76312,0.67474,0.58525,1.21923,0.00106118,0.00106118,0.00106118
54,400.456,0.83128,0.73268,1.24774,0.86501,0.90727,0.94558,0.7517,0.70301,0.5584,1.24545,0.0010541,0.0010541,0.0010541
55,407.658,0.83044,0.69951,1.24891,0.81699,0.86301,0.91439,0.72283,0.75361,0.69026,1.27091,0.00104703,0.00104703,0.00104703
56,414.941,0.82569,0.71381,1.24147,0.71333,0.85271,0.80471,0.6313,0.7906,0.93106,1.30518,0.00103995,0.00103995,0.00103995
57,422.185,0.81962,0.73681,1.23874,0.83556,0.85536,0.90474,0.73264,0.72559,0.74163,1.235,0.00103288,0.00103288,0.00103288
58,429.338,0.81849,0.73724,1.24639,0.85953,0.89955,0.94306,0.77118,0.68374,0.59165,1.22457,0.00102581,0.00102581,0.00102581
59,436.651,0.81678,0.74029,1.23901,0.89351,0.9178,0.94532,0.76409,0.68638,0.5488,1.22531,0.00101873,0.00101873,0.00101873
60,444.163,0.82018,0.71712,1.22964,0.88831,0.90503,0.94348,0.773,0.6607,0.54075,1.21347,0.00101166,0.00101166,0.00101166
61,451.411,0.80401,0.72024,1.23025,0.82244,0.89804,0.92319,0.76505,0.68174,0.58891,1.22715,0.00100459,0.00100459,0.00100459
62,458.646,0.8009,0.70037,1.23065,0.90685,0.91201,0.95395,0.78651,0.6634,0.50331,1.2006,0.000997513,0.000997513,0.000997513
63,465.896,0.79679,0.69487,1.22935,0.8538,0.87494,0.92266,0.75552,0.67033,0.59453,1.2171,0.00099044,0.00099044,0.00099044
64,473.083,0.78669,0.66402,1.21491,0.76434,0.88727,0.91762,0.74869,0.67506,0.81535,1.22391,0.000983366,0.000983366,0.000983366
65,480.311,0.8211,0.70472,1.247,0.88028,0.92435,0.94426,0.76695,0.6772,0.51662,1.22335,0.000976293,0.000976293,0.000976293
66,487.627,0.79581,0.70662,1.21852,0.88196,0.87583,0.93438,0.74824,0.70429,0.57776,1.23143,0.000969219,0.000969219,0.000969219
67,495.063,0.78843,0.69292,1.22101,0.77327,0.84282,0.85002,0.68329,0.70942,0.86178,1.28732,0.000962146,0.000962146,0.000962146
68,502.346,0.78523,0.68938,1.22233,0.87115,0.90822,0.9351,0.7699,0.67235,0.54198,1.21079,0.000955072,0.000955072,0.000955072
69,509.668,0.80924,0.69805,1.23256,0.8318,0.89078,0.92104,0.67944,0.91452,0.62113,1.42565,0.000947999,0.000947999,0.000947999
70,516.815,0.79985,0.67594,1.23505,0.88935,0.95388,0.95928,0.80552,0.63822,0.45452,1.18978,0.000940925,0.000940925,0.000940925
71,524.106,0.82087,0.69757,1.24673,0.91638,0.92572,0.95366,0.78891,0.65389,0.4969,1.193,0.000933851,0.000933851,0.000933851
72,531.395,0.77796,0.68275,1.21842,0.812,0.86849,0.90765,0.75238,0.63691,0.73112,1.19131,0.000926778,0.000926778,0.000926778
73,538.946,0.79745,0.66967,1.22774,0.89634,0.88167,0.93616,0.79201,0.63781,0.55726,1.18016,0.000919704,0.000919704,0.000919704
74,546.21,0.77378,0.65852,1.20752,0.82751,0.87607,0.91393,0.72589,0.70518,0.66534,1.25265,0.000912631,0.000912631,0.000912631
75,553.356,0.80066,0.69821,1.22861,0.86551,0.92874,0.94065,0.75843,0.70175,0.56188,1.24587,0.000905557,0.000905557,0.000905557
76,560.689,0.79653,0.68903,1.22682,0.88746,0.91689,0.93777,0.77956,0.6346,0.51195,1.17751,0.000898484,0.000898484,0.000898484
77,567.928,0.76969,0.64026,1.22018,0.93031,0.91584,0.96332,0.8083,0.62094,0.44965,1.16848,0.00089141,0.00089141,0.00089141
78,575.202,0.78306,0.68539,1.21207,0.91812,0.89274,0.94945,0.77834,0.63821,0.53731,1.22242,0.000884337,0.000884337,0.000884337
79,582.493,0.76161,0.66303,1.21189,0.78013,0.90277,0.91065,0.7314,0.65367,0.73366,1.21147,0.000877263,0.000877263,0.000877263
80,589.895,0.78368,0.64767,1.22007,0.86959,0.91466,0.94894,0.77937,0.63925,0.53364,1.18151,0.00087019,0.00087019,0.00087019
81,597.119,0.77609,0.63776,1.21785,0.85747,0.90086,0.93332,0.75534,0.69567,0.56999,1.22348,0.000863116,0.000863116,0.000863116
82,604.233,0.75445,0.6406,1.20542,0.8728,0.89833,0.92815,0.78948,0.62256,0.53478,1.1703,0.000856042,0.000856042,0.000856042
83,611.515,0.76399,0.66727,1.20777,0.9318,0.90447,0.95536,0.79726,0.63206,0.46725,1.1799,0.000848969,0.000848969,0.000848969
84,618.748,0.75351,0.66546,1.2075,0.91038,0.87994,0.94626,0.78697,0.63877,0.52066,1.18624,0.000841895,0.000841895,0.000841895
85,625.853,0.76354,0.63397,1.21142,0.91215,0.94644,0.96403,0.81656,0.61867,0.42631,1.17249,0.000834822,0.000834822,0.000834822
86,633.488,0.74604,0.6308,1.2081,0.87305,0.9278,0.95188,0.78739,0.65387,0.52476,1.19917,0.000827748,0.000827748,0.000827748
87,640.612,0.75067,0.63846,1.19592,0.87179,0.87555,0.93034,0.76159,0.68181,0.55789,1.21785,0.000820675,0.000820675,0.000820675
88,647.853,0.73609,0.61493,1.18016,0.90405,0.92649,0.96856,0.80112,0.65329,0.46463,1.20245,0.000813601,0.000813601,0.000813601
89,655.052,0.73933,0.62481,1.19119,0.90587,0.90594,0.94559,0.78808,0.61439,0.49386,1.17764,0.000806528,0.000806528,0.000806528
90,662.206,0.73614,0.63447,1.19178,0.90312,0.95046,0.96399,0.80761,0.62784,0.43591,1.16709,0.000799454,0.000799454,0.000799454
91,669.674,0.74098,0.61099,1.19069,0.90557,0.92345,0.95675,0.80413,0.62868,0.47928,1.17638,0.00079238,0.00079238,0.00079238
92,676.971,0.75636,0.61671,1.20037,0.8554,0.91414,0.92061,0.75416,0.68106,0.55971,1.2274,0.000785307,0.000785307,0.000785307
93,684.322,0.72392,0.60415,1.18637,0.91058,0.93128,0.95897,0.79672,0.64847,0.46703,1.18465,0.000778233,0.000778233,0.000778233
94,691.416,0.73325,0.59341,1.18636,0.9037,0.93356,0.95749,0.80701,0.60711,0.47095,1.16753,0.00077116,0.00077116,0.00077116
95,698.624,0.72653,0.62967,1.18082,0.91823,0.9173,0.95824,0.81647,0.60536,0.4621,1.15597,0.000764086,0.000764086,0.000764086
96,705.95,0.75266,0.60401,1.19634,0.9328,0.94946,0.96353,0.80742,0.61957,0.44,1.16776,0.000757013,0.000757013,0.000757013
97,713.089,0.74152,0.61598,1.18803,0.93496,0.90917,0.95812,0.80462,0.6169,0.45428,1.16507,0.000749939,0.000749939,0.000749939
98,720.521,0.72449,0.58913,1.17902,0.92446,0.93902,0.95815,0.81234,0.60133,0.43675,1.16494,0.000742866,0.000742866,0.000742866
99,727.874,0.72693,0.59071,1.18172,0.89566,0.92615,0.94888,0.79625,0.62218,0.47758,1.1734,0.000735792,0.000735792,0.000735792
100,735.074,0.71858,0.58926,1.18044,0.84384,0.86515,0.91773,0.76263,0.65295,0.70839,1.20557,0.000728719,0.000728719,0.000728719
