epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,555.933,1.05027,1.25174,1.63032,0.62493,0.83337,0.73361,0.56949,0.79851,0.94642,1.49376,0.0091684,0.0091684,0.0091684
44,568.185,1.0581,1.23911,1.62706,0.66625,0.79018,0.75302,0.49429,1.07763,0.99256,1.81231,0.0091486,0.0091486,0.0091486
45,580.48,1.0427,1.20742,1.62376,0.31205,0.39341,0.36347,0.18965,1.6773,2.26746,2.38553,0.0091288,0.0091288,0.0091288
46,592.977,1.03489,1.19,1.60456,0.62476,0.79354,0.74546,0.53981,0.92968,0.98617,1.62712,0.009109,0.009109,0.009109
47,605.132,1.01926,1.18675,1.59909,0.70411,0.84114,0.80485,0.61705,0.77525,0.81652,1.44551,0.0090892,0.0090892,0.0090892
48,617.503,1.0506,1.21876,1.6098,0.63419,0.73608,0.69817,0.46189,1.09693,1.17602,1.7992,0.0090694,0.0090694,0.0090694
49,629.691,1.01319,1.18286,1.58481,0.6494,0.81409,0.76216,0.54878,0.94384,0.92095,1.67972,0.0090496,0.0090496,0.0090496
50,641.905,1.02122,1.19239,1.59652,0.42671,0.26303,0.29817,0.16328,2.01598,3.62366,2.91112,0.0090298,0.0090298,0.0090298
51,654.095,0.99485,1.15711,1.57305,0.63718,0.86071,0.75982,0.58407,0.78997,0.98546,1.48273,0.00901,0.00901,0.00901
52,666.326,1.00223,1.16133,1.57977,0.58471,0.76846,0.69769,0.40405,1.42758,1.08858,2.30135,0.0089902,0.0089902,0.0089902
53,678.586,0.99967,1.14218,1.58038,0.73681,0.8038,0.81838,0.60919,0.83338,0.83744,1.52941,0.0089704,0.0089704,0.0089704
54,691.009,0.99641,1.1359,1.57703,0.635,0.72936,0.69198,0.43403,1.10353,1.28241,1.78834,0.0089506,0.0089506,0.0089506
55,703.112,1.00848,1.14283,1.58802,0.71979,0.83069,0.82755,0.62745,0.87055,0.79393,1.46504,0.0089308,0.0089308,0.0089308
56,715.22,0.98552,1.1061,1.56781,0.72644,0.83574,0.82283,0.66095,0.73365,0.81645,1.37456,0.008911,0.008911,0.008911
57,727.424,0.99538,1.10826,1.5748,0.69771,0.77763,0.79055,0.63342,0.74591,0.86868,1.41098,0.0088912,0.0088912,0.0088912
